type,sample.sample_id,pdx.pdx_id,cell_line.cell_line_id,pathology_file_id,file_name,file_type,file_description,file_size,md5sum,file_url_in_cds,dcf_indexd_guid,image_modality,license,magnification,fixation_embedding_method,staining_method,deidentification_method,percent_tumor,percent_necrosis,file_mapping_level,id,sample.id,pdx.id,cell_line.id
pathology_file,0DLPZE,,,0DLK9N_134231.svs_2,0DLK9N_134231.svs,svs,,485138669,9a5bc6fd39b2110c46b70e3c3d9ac1b8,s3://TBD/,dg.4DFC/26b46faa-2929-4acf-b606-2101e162ff77,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLRHW,,,0DLLQ8_144223.svs_1,0DLLQ8_144223.svs,svs,,1696959985,df0ded204964910e7a5b66cc2842cbb4,s3://TBD/,dg.4DFC/35884e1f-feca-4b71-9897-2a1070da113f,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,10,,,,,
pathology_file,0DLRI7,,,0DLLQ8_144223.svs_2,0DLLQ8_144223.svs,svs,,1696959985,df0ded204964910e7a5b66cc2842cbb4,s3://TBD/,dg.4DFC/35884e1f-feca-4b71-9897-2a1070da113f,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,10,,,,,
pathology_file,0DLRHQ,,,0DLLWT_130241.svs_1,0DLLWT_130241.svs,svs,,1364289911,87bfe7a7e6177cbdc53aa71a7171b330,s3://TBD/,dg.4DFC/b50cdc77-1357-4136-aaaf-591648b9285e,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLRI1,,,0DLLWT_130241.svs_2,0DLLWT_130241.svs,svs,,1364289911,87bfe7a7e6177cbdc53aa71a7171b330,s3://TBD/,dg.4DFC/b50cdc77-1357-4136-aaaf-591648b9285e,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLRHV,,,0DLLWX_144609.svs_1,0DLLWX_144609.svs,svs,,834534963,3f5ebff9ad48772bf67cb0bac6f5ffba,s3://TBD/,dg.4DFC/b46e1b7e-7b29-40f8-9aba-0f34a8971091,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,0,,,,,
pathology_file,0DLRI6,,,0DLLWX_144609.svs_2,0DLLWX_144609.svs,svs,,834534963,3f5ebff9ad48772bf67cb0bac6f5ffba,s3://TBD/,dg.4DFC/b46e1b7e-7b29-40f8-9aba-0f34a8971091,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,0,,,,,
pathology_file,0DLRHY,,,0DLLYL_144429.svs_1,0DLLYL_144429.svs,svs,,2082461197,d75c271434e1a3548a56a1b439c1944a,s3://TBD/,dg.4DFC/74fdcfe8-07ea-49a8-9b2f-71d211553a43,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLRI9,,,0DLLYL_144429.svs_2,0DLLYL_144429.svs,svs,,2082461197,d75c271434e1a3548a56a1b439c1944a,s3://TBD/,dg.4DFC/74fdcfe8-07ea-49a8-9b2f-71d211553a43,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLX56,,,0DLLZ9_153114.svs_1,0DLLZ9_153114.svs,svs,,1967790815,045cac6acf4514f721ddf4ac1130ef6a,s3://TBD/,dg.4DFC/41db8314-ba50-4042-9985-d6ba79cdcc88,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,10,,,,,
pathology_file,0DLX5F,,,0DLLZ9_153114.svs_2,0DLLZ9_153114.svs,svs,,1967790815,045cac6acf4514f721ddf4ac1130ef6a,s3://TBD/,dg.4DFC/41db8314-ba50-4042-9985-d6ba79cdcc88,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,10,,,,,
pathology_file,0DLSX0,,,0DLM2Z_122235.svs_1,0DLM2Z_122235.svs,svs,,646022581,b0974ac55d804703f79cdae0080dade0,s3://TBD/,dg.4DFC/a40516cf-60d1-4ff5-b5d5-de0fc8e9c436,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,40,,,,,
pathology_file,0DLSXU,,,0DLM2Z_122235.svs_2,0DLM2Z_122235.svs,svs,,646022581,b0974ac55d804703f79cdae0080dade0,s3://TBD/,dg.4DFC/a40516cf-60d1-4ff5-b5d5-de0fc8e9c436,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,40,,,,,
pathology_file,0DLRHP,,,0DLM33_144445.svs_1,0DLM33_144445.svs,svs,,1955621601,4cb216b47d92320bc182c0c36ca9a10d,s3://TBD/,dg.4DFC/8f784735-ce9f-4c3c-9e6f-faa89d456bb3,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,0,,,,,
pathology_file,0DLRI0,,,0DLM33_144445.svs_2,0DLM33_144445.svs,svs,,1955621601,4cb216b47d92320bc182c0c36ca9a10d,s3://TBD/,dg.4DFC/8f784735-ce9f-4c3c-9e6f-faa89d456bb3,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,0,,,,,
pathology_file,0DLRHZ,,,0DLM6Z_144305.svs_1,0DLM6Z_144305.svs,svs,,177114435,02086e5beb467e7dd1b2d18adb1e93d1,s3://TBD/,dg.4DFC/3f6f4ffb-0066-4e19-b535-72cb5d67771a,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,0,,,,,
